clusterid,time,total_aw,total_bk,total_harv,total_mcd,total_wend,lagtotal_aw,lagtotal_bk,lagtotal_harv,lagtotal_mcd,lagtotal_wend,fortotal_aw,fortotal_bk,fortotal_harv,fortotal_mcd,fortotal_wend,change_aw,change_bk,change_harv,change_mcd,change_wend,fsaid,population,value,income,cityid,totalsales,totallocations,salesperstore,disc_population,disc_income,disc_value,lagdisc_population,lagdisc_income,lagdisc_value
1,1970,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,131,28998.52,212750.9,51672.71,5,5.68E+09,1889,3005802,2,2,2,,,
1,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,29404.5,216039.8,52235.94,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,29816.16,219379.5,54447.53,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,30227.82,222719.3,57532.39,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,30639.48,226059,58829.37,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,31051.15,229398.7,59036.06,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,31462.81,232738.5,61288.99,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,31874.47,236336.3,62673.82,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,32286.14,239934.2,64503.04,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,32697.8,243532.1,66296.08,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,33109.46,247130,66864.48,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,33521.13,250727.8,68357.82,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,34462.07,254603.8,65619.17,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,35403.01,258479.8,66740.47,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,36343.96,262355.8,69954.52,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,37284.9,266231.7,72631.16,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,38225.84,285105.4,73654.27,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,131,39284.41,303979.2,75778.02,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,131,40342.97,322852.9,78521.85,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1989,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,131,41401.53,341726.6,79136.75,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1990,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,131,42460.09,360600.3,78098.13,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1991,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,43518.65,379474,75561,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1992,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,44341.98,366274.6,74259.8,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1993,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,45165.3,353075.2,72958.6,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1994,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,45988.63,339875.8,71657.4,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1995,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,46811.96,326676.4,70356.2,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1996,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,47635.28,313477,69055,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1997,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,48576.23,318179.8,71886.8,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1998,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,49517.17,322953.1,74718.6,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,1999,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,50458.11,327798,77550.4,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,2000,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,51399.05,332715.5,80382.2,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,2001,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,131,52340,337707,83214,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,2002,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,131,52934.2,367710.8,86045.8,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,2003,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,131,53528.4,400380.2,88877.6,5,5.68E+09,1889,3005802,2,2,2,2,2,2
1,2004,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,131,54122.6,435952.2,91709.4,5,5.68E+09,1889,3005802,2,2,2,2,2,2
2,1970,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,215,21904.02,91975.91,35934.49,5,2.55E+09,1237,2062835,2,1,1,,,
2,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,22210.67,94852.31,36326.18,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,22521.62,97818.66,37864.18,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,22832.57,100785,40009.46,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,23143.52,103751.4,40911.42,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,23454.47,106717.7,41055.16,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,23765.42,109684.1,42621.9,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,24076.37,113114.3,43584.94,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,24387.32,116544.5,44857.02,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,24698.27,119974.7,46103.95,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,25009.22,123404.9,46499.23,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,25320.17,126835,47537.73,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,26030.91,130801.6,45633.21,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,26741.65,134768.2,46412.99,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,27452.39,138734.7,48648.11,5,2.55E+09,1237,2062835,2,1,1,2,1,1
2,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,28163.13,142701.3,50509.52,5,2.55E+09,1237,2062835,2,2,1,2,1,1
2,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,215,28873.88,158554.1,51221.02,5,2.55E+09,1237,2062835,2,2,2,2,2,1
2,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,215,29673.46,174406.9,52697.92,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1988,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,30473.04,190259.7,54606.05,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1989,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,31272.63,206112.4,55033.66,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1990,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,32072.21,221965.2,54311.38,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1991,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,32871.8,237818,52547,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,33493.7,229478.8,51934.4,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1993,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,34115.59,221139.6,51321.8,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1994,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,34737.5,212800.4,50709.2,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,35359.39,204461.2,50096.6,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1996,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,35981.29,196122,49484,5,2.55E+09,1237,2062835,2,1,2,2,2,2
2,1997,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,215,36692.04,201904.2,50982.1,5,2.55E+09,1237,2062835,2,2,2,2,1,2
2,1998,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,215,37402.78,207856.9,52480.2,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,1999,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,215,38113.52,213985.2,53978.3,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,2000,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,215,38824.26,220294,55476.4,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,2001,0,0,2,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,215,39535,226789,56974.5,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,2002,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,215,39498.4,243003.9,58472.6,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,2003,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,215,39461.8,260378.2,59970.7,5,2.55E+09,1237,2062835,2,2,2,2,2,2
2,2004,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,215,39425.2,278994.7,61468.8,5,2.55E+09,1237,2062835,2,2,2,2,2,2
3,1970,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,212,10686.9,122882,31345.83,5,8.62E+08,361,2387234,1,1,1,,,
3,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,10836.52,125406.1,31687.5,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,10988.23,127982,33029.1,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,11139.94,130557.9,34900.45,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,11291.65,133133.9,35687.23,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,11443.36,135709.8,35812.61,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,11595.07,138285.7,37179.29,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,212,11746.78,141126.2,38019.36,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1978,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212,11898.5,143966.7,39129,5,8.62E+08,361,2387234,1,1,1,1,1,1
3,1979,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,12050.21,146807.2,40216.7,5,8.62E+08,361,2387234,1,1,2,1,1,1
3,1980,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,12201.92,149647.7,40561.5,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1981,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,12353.63,152488.2,41467.39,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1982,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,12700.4,155620.4,39806.07,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1983,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,13047.17,158752.6,40486.27,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1984,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,13393.94,161884.8,42435.98,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1985,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,13740.7,165017,44059.7,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1986,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,14087.47,178479.9,44680.34,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1987,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,14477.59,191942.7,45968.65,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1988,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,14867.7,205405.5,47633.12,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1989,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,15257.82,218868.3,48006.13,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1990,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,15647.93,232331.2,47376.08,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1991,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,16038.05,245794,45837,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,16341.47,237527.6,45532.4,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1993,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,16644.89,229261.2,45227.8,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1994,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,16948.31,220994.8,44923.2,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,17251.74,212728.4,44618.6,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1996,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,17555.16,204462,44314,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1997,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,17901.93,208499.2,45463.6,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1998,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,18248.7,212616.1,46613.2,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,1999,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,212,18595.46,216814.3,47762.8,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,2000,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,212,18942.23,221095.4,48912.4,5,8.62E+08,361,2387234,1,1,2,1,1,2
3,2001,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,212,19289,225461,50062,5,8.62E+08,361,2387234,1,2,2,1,1,2
3,2002,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,212,19324.8,241585,51211.6,5,8.62E+08,361,2387234,1,2,2,1,2,2
3,2003,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,212,19360.6,258862.2,52361.2,5,8.62E+08,361,2387234,1,2,2,1,2,2
3,2004,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,212,19396.4,277374.9,53510.8,5,8.62E+08,361,2387234,1,2,2,1,2,2
4,1970,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,215,21904.02,91975.91,35934.49,5,2.55E+09,1237,2062835,2,1,1,,,
4,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,22210.67,94852.31,36326.18,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,22521.62,97818.66,37864.18,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,22832.57,100785,40009.46,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,23143.52,103751.4,40911.42,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,23454.47,106717.7,41055.16,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,23765.42,109684.1,42621.9,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,24076.37,113114.3,43584.94,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,24387.32,116544.5,44857.02,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,24698.27,119974.7,46103.95,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,25009.22,123404.9,46499.23,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,25320.17,126835,47537.73,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,26030.91,130801.6,45633.21,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,26741.65,134768.2,46412.99,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,27452.39,138734.7,48648.11,5,2.55E+09,1237,2062835,2,1,1,2,1,1
4,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,28163.13,142701.3,50509.52,5,2.55E+09,1237,2062835,2,2,1,2,1,1
4,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,215,28873.88,158554.1,51221.02,5,2.55E+09,1237,2062835,2,2,2,2,2,1
4,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,215,29673.46,174406.9,52697.92,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1988,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,30473.04,190259.7,54606.05,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1989,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,31272.63,206112.4,55033.66,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1990,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,32072.21,221965.2,54311.38,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1991,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,32871.8,237818,52547,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,33493.7,229478.8,51934.4,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1993,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,34115.59,221139.6,51321.8,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1994,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,34737.5,212800.4,50709.2,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1995,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,215,35359.39,204461.2,50096.6,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1996,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,215,35981.29,196122,49484,5,2.55E+09,1237,2062835,2,1,2,2,2,2
4,1997,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,215,36692.04,201904.2,50982.1,5,2.55E+09,1237,2062835,2,2,2,2,1,2
4,1998,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,215,37402.78,207856.9,52480.2,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,1999,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,215,38113.52,213985.2,53978.3,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,2000,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,215,38824.26,220294,55476.4,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,2001,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,215,39535,226789,56974.5,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,2002,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,215,39498.4,243003.9,58472.6,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,2003,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,215,39461.8,260378.2,59970.7,5,2.55E+09,1237,2062835,2,2,2,2,2,2
4,2004,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,215,39425.2,278994.7,61468.8,5,2.55E+09,1237,2062835,2,2,2,2,2,2
5,1970,0,0,1,0,0,,,,,,0,1,1,0,0,0,1,0,0,0,165,9734.503,80770.84,30845.93,5,2.75E+08,149,1846837,1,1,1,,,
5,1971,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,165,9870.786,83604.22,31182.15,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1972,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10008.98,86536.99,32502.36,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1973,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10147.17,89469.77,34343.86,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1974,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10285.36,92402.53,35118.09,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1975,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10423.55,95335.3,35241.47,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1976,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10561.74,98268.08,36586.36,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1977,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10699.93,101715.3,37413.03,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1978,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10838.12,105162.4,38504.97,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1979,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,10976.31,108609.6,39575.33,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1980,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,11114.5,112056.8,39914.63,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1981,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,11252.7,115503.9,40806.07,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1982,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,11568.56,119555.7,39171.24,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1983,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,11884.43,123607.5,39840.6,5,2.75E+08,149,1846837,1,1,1,1,1,1
5,1984,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,165,12200.29,127659.3,41759.22,5,2.75E+08,149,1846837,1,1,1,1,1,1
